201  156746 |Loss: 0.004 | Acc: 99.937% 
201  156747 |Loss: 0.004 | Acc: 99.937% 
201  156748 |Loss: 0.004 | Acc: 99.937% 
201  156749 |Loss: 0.004 | Acc: 99.937% 
201  156750 |Loss: 0.004 | Acc: 99.938% 
201  156751 |Loss: 0.004 | Acc: 99.938% 
201  156752 |Loss: 0.004 | Acc: 99.938% 
201  156753 |Loss: 0.004 | Acc: 99.938% 
201  156754 |Loss: 0.004 | Acc: 99.938% 
201  156755 |Loss: 0.004 | Acc: 99.938% 
201  156756 |Loss: 0.004 | Acc: 99.939% 
201  156757 |Loss: 0.004 | Acc: 99.939% 
201  156758 |Loss: 0.004 | Acc: 99.939% 
201  156759 |Loss: 0.004 | Acc: 99.939% 
201  156760 |Loss: 0.004 | Acc: 99.939% 
201  156761 |Loss: 0.004 | Acc: 99.939% 
201  156762 |Loss: 0.004 | Acc: 99.940% 
201  156763 |Loss: 0.004 | Acc: 99.940% 
201  156764 |Loss: 0.004 | Acc: 99.940% 
201  156765 |Loss: 0.004 | Acc: 99.940% 
201  156766 |Loss: 0.004 | Acc: 99.940% 
201  156767 |Loss: 0.004 | Acc: 99.940% 
201  156768 |Loss: 0.004 | Acc: 99.936% 
201  156769 |Loss: 0.004 | Acc: 99.936% 
201  156770 |Loss: 0.004 | Acc: 99.937% 
201  156771 |Loss: 0.004 | Acc: 99.937% 
201  156772 |Loss: 0.004 | Acc: 99.937% 
201  156773 |Loss: 0.004 | Acc: 99.937% 
201  156774 |Loss: 0.004 | Acc: 99.937% 
201  156775 |Loss: 0.004 | Acc: 99.938% 
201  156776 |Loss: 0.004 | Acc: 99.938% 
201  156777 |Loss: 0.004 | Acc: 99.938% 
201  156778 |Loss: 0.004 | Acc: 99.938% 
201  156779 |Loss: 0.004 | Acc: 99.938% 
201  156780 |Loss: 0.004 | Acc: 99.938% 
201  156781 |Loss: 0.004 | Acc: 99.938% 
201  156782 |Loss: 0.004 | Acc: 99.939% 
201  156783 |Loss: 0.004 | Acc: 99.939% 
201  156784 |Loss: 0.004 | Acc: 99.939% 
201  156785 |Loss: 0.004 | Acc: 99.939% 
201  156786 |Loss: 0.004 | Acc: 99.939% 
201  156787 |Loss: 0.004 | Acc: 99.939% 
201  156788 |Loss: 0.004 | Acc: 99.940% 
201  156789 |Loss: 0.004 | Acc: 99.940% 
201  156790 |Loss: 0.004 | Acc: 99.940% 
201  156791 |Loss: 0.004 | Acc: 99.940% 
201  156792 |Loss: 0.004 | Acc: 99.940% 
201  156793 |Loss: 0.004 | Acc: 99.940% 
201  156794 |Loss: 0.004 | Acc: 99.941% 
201  156795 |Loss: 0.004 | Acc: 99.941% 
201  156796 |Loss: 0.004 | Acc: 99.941% 
201  156797 |Loss: 0.004 | Acc: 99.941% 
201  156798 |Loss: 0.004 | Acc: 99.941% 
201  156799 |Loss: 0.004 | Acc: 99.941% 
201  156800 |Loss: 0.004 | Acc: 99.941% 
201  156801 |Loss: 0.004 | Acc: 99.942% 
201  156802 |Loss: 0.004 | Acc: 99.942% 
201  156803 |Loss: 0.004 | Acc: 99.942% 
201  156804 |Loss: 0.004 | Acc: 99.942% 
201  156805 |Loss: 0.004 | Acc: 99.942% 
201  156806 |Loss: 0.004 | Acc: 99.942% 
201  156807 |Loss: 0.004 | Acc: 99.942% 
